experiment_id,baseline,qkd_availability_config,device_count,payload_class,network_load,n_transactions,n_success,successful_transmission_rate,key_establishment_ms_mean,key_establishment_ms_median,key_establishment_ms_p95,key_establishment_ms_ci95_low,key_establishment_ms_ci95_high,payload_encryption_ms_mean,end_to_end_ms_mean,end_to_end_ms_median,end_to_end_ms_p95,communication_overhead_bytes_mean,fallback_frequency
baseline=B1_qkd=0_devices=10_payload=medium_load=nominal_seed=113971123,B1,0.0,10,medium,nominal,500,498,0.996,0.30401720682874267,0.29295999996747923,0.3823868500319349,0.300414287152646,0.30752913654776576,0.031096652613116137,11.762556847393666,11.752060499973133,13.053815449995327,96,nan
baseline=B1_qkd=0_devices=1000_payload=medium_load=nominal_seed=2410529190,B1,0.0,1000,medium,nominal,50000,49848,0.99696,0.2961256793654123,0.28829149999864967,0.3525671000204508,0.2958024867195379,0.29644318393917896,0.03859318662734228,11.74039913176069,11.746116500052846,13.0471451500275,96,nan
baseline=B1_qkd=50_devices=10_payload=medium_load=nominal_seed=2342331444,B1,0.5,10,medium,nominal,500,500,1.0,0.28960814400045365,0.28001900000163005,0.3405432999983304,0.28641674399864314,0.2926157740001827,0.028722992002258252,11.746134176002712,11.73618199999964,13.026064649976226,96,nan
baseline=B1_qkd=50_devices=1000_payload=medium_load=nominal_seed=127978094,B1,0.5,1000,medium,nominal,50000,49856,0.99712,0.29850512223201625,0.2886165000006713,0.3714580000035994,0.29811649370188914,0.29885637487957584,0.038500084563556775,11.73660241058248,11.733824499979752,13.047835499998435,96,nan
baseline=B1_qkd=100_devices=10_payload=medium_load=nominal_seed=107420369,B1,1.0,10,medium,nominal,500,499,0.998,0.31043774949937447,0.285699000016848,0.4544942000052287,0.30285659118258784,0.3218790581166433,0.03488407615261216,11.74966933667403,11.68598700000843,13.039819599978683,96,nan
baseline=B1_qkd=100_devices=1000_payload=medium_load=nominal_seed=1051802512,B1,1.0,1000,medium,nominal,50000,49858,0.99716,0.2932039317661765,0.28444800000215764,0.35170660000574117,0.29288062385156294,0.29353341413610035,0.0376977129246879,11.735613490974309,11.743822499978164,13.038863150004772,96,nan
baseline=B2_qkd=0_devices=10_payload=medium_load=nominal_seed=1445662585,B2,0.0,10,medium,nominal,500,499,0.998,0.23442972945758356,0.22068300000910313,0.3822616999684668,0.22807525049937702,0.24050994989967972,0.030322911822530656,11.56831410019795,11.54816999998147,12.887060600016712,5581,nan
baseline=B2_qkd=0_devices=1000_payload=medium_load=nominal_seed=1136108454,B2,0.0,1000,medium,nominal,50000,49839,0.99678,0.2421885169446098,0.2208149999773923,0.39715170002523337,0.24133652862234145,0.2430489256608057,0.03990683063458576,11.689155382010062,11.690459999966894,12.993849900015642,5581,nan
baseline=B2_qkd=50_devices=10_payload=medium_load=nominal_seed=1461364854,B2,0.5,10,medium,nominal,500,499,0.998,0.23363502204373215,0.2123389999724168,0.3792392999741878,0.2271217775550539,0.24028529659408615,0.03004198997983505,11.627217308616753,11.616895000031525,12.985644599986648,5581,nan
baseline=B2_qkd=50_devices=1000_payload=medium_load=nominal_seed=1193448329,B2,0.5,1000,medium,nominal,50000,49849,0.99698,0.24680352153489718,0.22557099998721242,0.4038708000166479,0.24601859969104098,0.24759454677078743,0.04115059953069735,11.688729723224114,11.6878760000074,12.998693999982322,5581,nan
