baseline,qkd_availability,device_count,payload_class,network_load,total_runs,success_rate,failure_rate,mean_latency_ms,median_latency_ms,stdev_latency_ms,p95_latency_ms,mean_ke_latency_ms,mean_auth_latency_ms,mean_enc_latency_ms,mode_distribution
B4,50,10,MEDIUM,nominal,5,0.8,0.2,6.775339345624614,6.975950599447811,1.954723362109497,8.936947470951235,1.155674999608891,1.3019500038353726,0.06597500214411411,HYBRID:5
B4,50,1000,MEDIUM,nominal,5,0.6,0.4,8.045807707115813,7.343507547090685,1.7610556905548078,10.04965195398351,1.4385333391449724,1.840399997793914,0.026499995631941903,HYBRID:5
B4,0,10,MEDIUM,nominal,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HYBRID:5
B4,0,1000,MEDIUM,nominal,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HYBRID:5
B5,100,10,MEDIUM,nominal,5,1.0,0.0,11.737751524167242,11.746993615194363,0.8082132278738658,12.915710855288516,5.374400001077447,1.0549200043897144,0.033160003658849746,HYBRID:5
B5,100,1000,MEDIUM,nominal,5,1.0,0.0,11.264631980312762,10.941359872473193,2.333059603859657,14.554319520174442,5.211299998976756,1.138239998545032,0.03353999927639961,HYBRID:5
B5,50,10,MEDIUM,nominal,5,1.0,0.0,10.923244531645675,11.020565295383804,1.7731971242899205,13.32708337459628,5.204039998992812,1.1384199999156408,0.040040000749286264,HYBRID:4|PQC_ONLY:1
B5,50,1000,MEDIUM,nominal,5,1.0,0.0,11.028289392172878,11.185795063315613,2.18899097921885,13.64765195613533,4.881899999512825,1.60339999711141,0.032519997330382466,HYBRID:3|PQC_ONLY:2
B5,0,10,MEDIUM,nominal,5,1.0,0.0,10.253446188919947,9.74498034967683,1.478737870482359,12.23093889155492,4.6992399983573705,0.9350000007543713,0.03368000179762021,PQC_ONLY:5
B5,0,1000,MEDIUM,nominal,5,1.0,0.0,11.050716365371125,11.277115339057321,1.2335241360908984,12.229264738744789,4.691220001317561,1.3446400000248104,0.03397999971639365,PQC_ONLY:5
